10817	18460
8070	3835
298	16725
8614	10897
9239	12702
19092	8353
381	10295
11668	12866
18907	17959
6947	19082
15370	3117
4685	18087
17985	16941
5387	1758
15741	13554
16275	19181
3701	4674
11026	19337
15414	5675
3113	9575
12087	10105
891	5256
1932	10581
17426	3657
18713	13863
15224	8295
13437	3799
2540	12240
18557	8172
6542	11829
16048	18932
12266	14616
6368	5512
13144	6352
9726	17232
19281	2512
3931	10135
3059	18050
1573	3808
17965	9358
18257	5592
8373	7293
7127	10969
25	12307
10610	9397
3298	4297
11261	1211
19520	10096
4817	7746
17744	11943
3582	12544
18521	16199
12145	17281
16050	1994
254	7344
18618	16164
13152	16776
6542	2561
8626	19148
13348	9140
2415	17905
14071	1485
19397	16628
14071	7750
10983	668
3923	13310
12012	3395
17715	1821
9011	5556
10057	16501
13096	3384
4098	1304
11670	6758
19682	14257
18040	12263
19281	8142
7597	9643
2602	6290
8593	13370
10057	3989
9322	8956
3116	5967
17511	7981
17537	8487
7084	16513
4725	2969
4442	8919
14425	3655
19183	12516
7823	6957
18131	4628
10409	5737
3774	10960
2066	155
15915	12128
6234	7562
4094	2374
19553	1603
12606	17971
13488	11390
17729	3402
18870	18764
19646	11363
13350	7118
11991	6010
17191	3001
4491	1922
2992	17529
12310	12702
13536	12280
19474	3052
15198	6943
6943	2895
2867	15215
18323	16529
3340	1498
7624	7771
9167	8259
16050	12224
18455	13221
10341	18855
17093	9295
3811	13486
19551	9801
3701	19118
6495	15428
4450	12265
18015	5337
4063	5636
13326	14860
6808	3454
6096	3835
2738	534
13678	843
324	9159
859	8398
3204	14742
11062	4383
8125	9812
9671	18277
5176	16713
4072	9012
9215	15201
16427	13390
17465	4723
14839	4065
14437	4213
5664	19587
1264	14783
7616	18046
9714	15774
12802	18268
1756	1518
18975	826
2505	8698
18699	14588
3056	8095
913	9462
19394	6075
17592	1972
18726	15917
61	11170
14815	3816
4031	1200
8150	239
16702	4625
15739	10622
15488	7325
9339	13575
8236	12666
8695	15491
5451	3943
13416	9144
6166	537
17797	7610
18387	16181
16440	8057
15813	3158
11771	17404
13460	8322
704	6713
1336	18311
2103	13988
5775	15067
7135	10029
17319	8083
7571	9687
2728	12962
4223	3731
16049	9167
3662	4088
636	13821
17006	859
4232	8394
5970	9149
8700	3923
10866	1994
6943	7482
1435	6898
3016	11038
17379	2796
6086	16794
11589	13579
5045	4476
15975	15078
6566	7238
19049	11277
13971	14223
12979	937
6943	4407
10426	5718
15519	8798
4223	9079
18921	4371
3933	9387
13295	13451
16575	16225
6437	17227
9938	3361
19611	16247
310	17012
11283	11851
7302	2009
6086	15993
5169	11046
6550	9944
2004	17903
18554	2866
11038	7785
17379	9641
18736	3302
7241	13854
19530	2878
1940	9602
3799	2046
4043	11442
14514	8212
12256	8499
1208	707
3926	14577
4167	9397
11078	13845
17739	18860
10985	1492
13212	2866
13060	5871
15194	17343
587	5277
87	10854
7058	633
19251	16131
10210	2995
18492	11528
7638	11645
3946	316
4032	17486
4100	6152
1745	19645
18788	1638
604	7019
5493	17340
3496	17436
14132	1101
17262	15562
1496	18584
15813	13928
10628	8050
8261	18396
3149	19222
11593	2504
17800	2290
8930	3438
2941	8222
8156	12975
4880	18054
14787	17477
7820	8421
8472	4899
13964	6957
16742	6446
16575	13206
1809	373
15012	10569
11263	1398
19	5560
5806	1563
2266	8292
9239	2354
2157	6299
6987	10095
15930	7898
15143	9016
6690	2452
12218	2035
5806	11296
17712	18820
19049	9220
2691	5204
13552	11782
5880	19199
17215	16704
14422	8698
7214	10356
9130	11061
8535	19651
7830	4249
6104	5352
16992	15697
18454	11520
11737	8549
5451	4232
1483	5467
5008	3405
18467	3774
19558	9839
1211	6303
776	995
12171	910
8635	17968
2228	3053
3618	316
18017	14439
2738	15204
18386	6227
7877	5531
5423	9214
5614	12914
17208	270
8929	6752
6096	3923
7672	19587
